event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_reward,best_eval
episode,10,1,10,0,wall,,,0,10,,,
episode,41,2,31,0,wall,,,0,41,,,
episode,47,3,6,0,wall,,,0,47,,,
episode,59,4,12,0,wall,,,0,59,,,
episode,71,5,12,0,wall,,,0,71,,,
episode,84,6,13,0,wall,,,0,84,,,
episode,111,7,27,0,wall,,,0,111,,,
episode,129,8,18,0,wall,,,0,129,,,
episode,155,9,26,0,wall,,,0,155,,,
episode,182,10,27,0,wall,,,0,182,,,
episode,198,11,16,0,wall,,,0,198,,,
episode,211,12,13,0,wall,,,0,211,,,
episode,278,13,67,0,wall,,,0,278,,,
episode,299,14,21,0,wall,,,0,299,,,
episode,324,15,25,1,wall,,,1,324,,,
episode,349,16,25,0,wall,,,1,349,,,
episode,363,17,14,0,wall,,,1,363,,,
episode,368,18,5,0,wall,,,1,368,,,
episode,381,19,13,0,wall,,,1,381,,,
episode,402,20,21,0,wall,,,1,402,,,
episode,415,21,13,0,wall,,,1,415,,,
episode,425,22,10,0,wall,,,1,425,,,
episode,443,23,18,0,wall,,,1,443,,,
episode,456,24,13,0,wall,,,1,456,,,
episode,469,25,13,0,wall,,,1,469,,,
episode,479,26,10,0,wall,,,1,479,,,
episode,495,27,16,0,wall,,,1,495,,,
episode,528,28,33,0,wall,,,1,528,,,
episode,557,29,29,0,wall,,,1,557,,,
episode,576,30,19,0,wall,,,1,576,,,
episode,593,31,17,0,wall,,,1,593,,,
episode,625,32,32,0,wall,,,1,625,,,
episode,638,33,13,1,wall,,,1,638,,,
episode,674,34,36,0,wall,,,1,674,,,
episode,693,35,19,1,wall,,,1,693,,,
episode,703,36,10,0,wall,,,1,703,,,
episode,718,37,15,0,wall,,,1,718,,,
episode,754,38,36,0,wall,,,1,754,,,
episode,764,39,10,0,wall,,,1,764,,,
episode,770,40,6,0,wall,,,1,770,,,
episode,799,41,29,0,wall,,,1,799,,,
episode,809,42,10,0,wall,,,1,809,,,
episode,832,43,23,1,wall,,,1,832,,,
episode,847,44,15,0,wall,,,1,847,,,
episode,926,45,79,0,wall,,,1,926,,,
episode,932,46,6,0,wall,,,1,932,,,
episode,976,47,44,1,wall,,,1,976,,,
episode,1000,48,24,0,wall,,,1,1000,,,
episode,1038,49,38,0,wall,,,1,1038,,,
episode,1066,50,28,0,wall,,,1,1066,,,
episode,1093,51,27,0,wall,,,1,1093,,,
episode,1103,52,10,0,wall,,,1,1103,,,
episode,1136,53,33,0,wall,,,1,1136,,,
episode,1176,54,40,0,wall,,,1,1176,,,
episode,1181,55,5,0,wall,,,1,1181,,,
episode,1201,56,20,0,wall,,,1,1201,,,
episode,1208,57,7,0,wall,,,1,1208,,,
episode,1240,58,32,1,wall,,,1,1240,,,
episode,1250,59,10,0,wall,,,1,1250,,,
episode,1267,60,17,0,wall,,,1,1267,,,
episode,1298,61,31,0,wall,,,1,1298,,,
episode,1323,62,25,0,wall,,,1,1323,,,
episode,1356,63,33,0,wall,,,1,1356,,,
episode,1386,64,30,0,wall,,,1,1386,,,
episode,1417,65,31,0,wall,,,1,1417,,,
episode,1436,66,19,0,wall,,,1,1436,,,
episode,1505,67,69,0,wall,,,1,1505,,,
episode,1529,68,24,0,wall,,,1,1529,,,
episode,1538,69,9,0,wall,,,1,1538,,,
episode,1545,70,7,0,wall,,,1,1545,,,
episode,1552,71,7,0,wall,,,1,1552,,,
episode,1572,72,20,0,wall,,,1,1572,,,
episode,1583,73,11,0,wall,,,1,1583,,,
episode,1640,74,57,2,wall,,,2,1640,,,
episode,1657,75,17,0,wall,,,2,1657,,,
episode,1668,76,11,0,wall,,,2,1668,,,
episode,1683,77,15,0,wall,,,2,1683,,,
episode,1700,78,17,0,wall,,,2,1700,,,
episode,1708,79,8,0,wall,,,2,1708,,,
episode,1738,80,30,0,wall,,,2,1738,,,
episode,1752,81,14,0,wall,,,2,1752,,,
episode,1779,82,27,1,wall,,,2,1779,,,
episode,1801,83,22,0,wall,,,2,1801,,,
episode,1813,84,12,0,wall,,,2,1813,,,
episode,1834,85,21,0,wall,,,2,1834,,,
episode,1849,86,15,1,wall,,,2,1849,,,
episode,1875,87,26,0,wall,,,2,1875,,,
episode,1901,88,26,0,wall,,,2,1901,,,
episode,1930,89,29,0,wall,,,2,1930,,,
episode,1976,90,46,0,wall,,,2,1976,,,
episode,1984,91,8,0,wall,,,2,1984,,,
train,2000,91,,,,0.10989010989010989,0.0,2,2000,,,
episode,2011,92,27,1,wall,,,2,2011,,,
episode,2026,93,15,0,wall,,,2,2026,,,
episode,2037,94,11,0,wall,,,2,2037,,,
episode,2045,95,8,0,wall,,,2,2045,,,
episode,2062,96,17,0,wall,,,2,2062,,,
episode,2074,97,12,0,wall,,,2,2074,,,
episode,2171,98,97,0,wall,,,2,2171,,,
episode,2205,99,34,0,wall,,,2,2205,,,
episode,2213,100,8,0,wall,,,2,2213,,,
episode,2223,101,10,0,wall,,,2,2223,,,
episode,2274,102,51,0,wall,,,2,2274,,,
episode,2296,103,22,0,wall,,,2,2296,,,
episode,2307,104,11,1,wall,,,2,2307,,,
episode,2325,105,18,0,wall,,,2,2325,,,
episode,2349,106,24,1,wall,,,2,2349,,,
episode,2405,107,56,0,wall,,,2,2405,,,
episode,2435,108,30,0,wall,,,2,2435,,,
episode,2444,109,9,0,wall,,,2,2444,,,
episode,2462,110,18,0,wall,,,2,2462,,,
episode,2471,111,9,0,wall,,,2,2471,,,
episode,2477,112,6,0,wall,,,2,2477,,,
episode,2544,113,67,0,wall,,,2,2544,,,
episode,2618,114,74,1,wall,,,2,2618,,,
episode,2645,115,27,0,wall,,,2,2645,,,
episode,2663,116,18,0,wall,,,2,2663,,,
episode,2677,117,14,0,wall,,,2,2677,,,
episode,2687,118,10,0,wall,,,2,2687,,,
episode,2699,119,12,0,wall,,,2,2699,,,
episode,2710,120,11,0,wall,,,2,2710,,,
episode,2722,121,12,0,wall,,,2,2722,,,
episode,2759,122,37,0,wall,,,2,2759,,,
episode,2802,123,43,0,wall,,,2,2802,,,
episode,2826,124,24,0,wall,,,2,2826,,,
episode,2847,125,21,0,wall,,,2,2847,,,
episode,2888,126,41,0,wall,,,2,2888,,,
episode,2903,127,15,0,wall,,,2,2903,,,
episode,2942,128,39,0,wall,,,2,2942,,,
episode,2960,129,18,1,wall,,,2,2960,,,
episode,2992,130,32,0,wall,,,2,2992,,,
episode,3008,131,16,0,wall,,,2,3008,,,
episode,3018,132,10,0,wall,,,2,3018,,,
episode,3045,133,27,0,wall,,,2,3045,,,
episode,3062,134,17,0,wall,,,2,3062,,,
episode,3097,135,35,0,wall,,,2,3097,,,
episode,3106,136,9,0,wall,,,2,3106,,,
episode,3125,137,19,0,wall,,,2,3125,,,
episode,3150,138,25,1,wall,,,2,3150,,,
episode,3158,139,8,0,wall,,,2,3158,,,
episode,3191,140,33,0,wall,,,2,3191,,,
episode,3208,141,17,0,wall,,,2,3208,,,
episode,3215,142,7,0,wall,,,2,3215,,,
episode,3236,143,21,0,wall,,,2,3236,,,
episode,3248,144,12,0,wall,,,2,3248,,,
episode,3269,145,21,0,wall,,,2,3269,,,
episode,3289,146,20,0,wall,,,2,3289,,,
episode,3314,147,25,0,wall,,,2,3314,,,
episode,3337,148,23,0,wall,,,2,3337,,,
episode,3377,149,40,2,wall,,,2,3377,,,
episode,3441,150,64,1,wall,,,2,3441,,,
episode,3458,151,17,0,wall,,,2,3458,,,
episode,3472,152,14,1,wall,,,2,3472,,,
episode,3481,153,9,0,wall,,,2,3481,,,
episode,3522,154,41,0,wall,,,2,3522,,,
episode,3559,155,37,0,wall,,,2,3559,,,
episode,3581,156,22,0,wall,,,2,3581,,,
episode,3597,157,16,2,self,,,2,3597,,,
episode,3627,158,30,0,wall,,,2,3627,,,
episode,3654,159,27,0,wall,,,2,3654,,,
episode,3660,160,6,0,wall,,,2,3660,,,
episode,3676,161,16,0,wall,,,2,3676,,,
episode,3698,162,22,0,wall,,,2,3698,,,
episode,3730,163,32,0,wall,,,2,3730,,,
episode,3749,164,19,0,wall,,,2,3749,,,
episode,3770,165,21,0,wall,,,2,3770,,,
episode,3785,166,15,0,wall,,,2,3785,,,
episode,3814,167,29,0,wall,,,2,3814,,,
episode,3823,168,9,0,wall,,,2,3823,,,
episode,3835,169,12,0,wall,,,2,3835,,,
episode,3844,170,9,1,wall,,,2,3844,,,
episode,3871,171,27,0,wall,,,2,3871,,,
episode,3894,172,23,0,wall,,,2,3894,,,
episode,3918,173,24,0,wall,,,2,3918,,,
episode,3930,174,12,2,self,,,2,3930,,,
episode,3966,175,36,0,wall,,,2,3966,,,
episode,3999,176,33,1,wall,,,2,3999,,,
train,4000,176,,,,0.18,0.0,2,4000,,,
episode,4029,177,30,0,wall,,,2,4029,,,
episode,4045,178,16,0,wall,,,2,4045,,,
episode,4068,179,23,0,wall,,,2,4068,,,
episode,4083,180,15,0,wall,,,2,4083,,,
episode,4091,181,8,0,wall,,,2,4091,,,
episode,4099,182,8,1,wall,,,2,4099,,,
episode,4110,183,11,0,wall,,,2,4110,,,
episode,4126,184,16,0,wall,,,2,4126,,,
episode,4172,185,46,1,wall,,,2,4172,,,
episode,4215,186,43,1,wall,,,2,4215,,,
episode,4234,187,19,0,wall,,,2,4234,,,
episode,4251,188,17,0,wall,,,2,4251,,,
episode,4267,189,16,0,wall,,,2,4267,,,
episode,4279,190,12,0,wall,,,2,4279,,,
episode,4293,191,14,3,wall,,,3,4293,,,
episode,4305,192,12,0,wall,,,3,4305,,,
episode,4314,193,9,0,wall,,,3,4314,,,
episode,4328,194,14,0,wall,,,3,4328,,,
episode,4343,195,15,0,wall,,,3,4343,,,
episode,4374,196,31,1,wall,,,3,4374,,,
episode,4398,197,24,0,wall,,,3,4398,,,
episode,4407,198,9,0,wall,,,3,4407,,,
episode,4422,199,15,0,wall,,,3,4422,,,
episode,4468,200,46,0,wall,,,3,4468,,,
episode,4484,201,16,0,wall,,,3,4484,,,
episode,4540,202,56,0,wall,,,3,4540,,,
episode,4589,203,49,1,wall,,,3,4589,,,
episode,4605,204,16,0,wall,,,3,4605,,,
episode,4625,205,20,0,wall,,,3,4625,,,
episode,4668,206,43,0,wall,,,3,4668,,,
episode,4697,207,29,2,wall,,,3,4697,,,
episode,4734,208,37,0,wall,,,3,4734,,,
episode,4743,209,9,0,wall,,,3,4743,,,
episode,4775,210,32,0,wall,,,3,4775,,,
episode,4807,211,32,0,wall,,,3,4807,,,
episode,4834,212,27,0,wall,,,3,4834,,,
episode,4971,213,137,0,wall,,,3,4971,,,
episode,5012,214,41,1,wall,,,3,5012,,,
episode,5025,215,13,0,wall,,,3,5025,,,
episode,5037,216,12,0,wall,,,3,5037,,,
episode,5088,217,51,0,wall,,,3,5088,,,
episode,5097,218,9,0,wall,,,3,5097,,,
episode,5168,219,71,0,wall,,,3,5168,,,
episode,5190,220,22,0,wall,,,3,5190,,,
episode,5208,221,18,0,wall,,,3,5208,,,
episode,5223,222,15,1,wall,,,3,5223,,,
episode,5231,223,8,0,wall,,,3,5231,,,
episode,5249,224,18,0,wall,,,3,5249,,,
episode,5264,225,15,0,wall,,,3,5264,,,
episode,5280,226,16,0,wall,,,3,5280,,,
episode,5292,227,12,1,wall,,,3,5292,,,
episode,5337,228,45,0,wall,,,3,5337,,,
episode,5364,229,27,0,wall,,,3,5364,,,
episode,5376,230,12,1,wall,,,3,5376,,,
episode,5397,231,21,0,wall,,,3,5397,,,
episode,5468,232,71,2,self,,,3,5468,,,
episode,5476,233,8,1,wall,,,3,5476,,,
episode,5484,234,8,0,wall,,,3,5484,,,
episode,5531,235,47,0,wall,,,3,5531,,,
episode,5553,236,22,0,wall,,,3,5553,,,
episode,5578,237,25,0,wall,,,3,5578,,,
episode,5595,238,17,0,wall,,,3,5595,,,
episode,5618,239,23,1,wall,,,3,5618,,,
episode,5662,240,44,0,wall,,,3,5662,,,
episode,5671,241,9,2,self,,,3,5671,,,
episode,5717,242,46,0,wall,,,3,5717,,,
episode,5734,243,17,1,wall,,,3,5734,,,
episode,5771,244,37,1,wall,,,3,5771,,,
episode,5831,245,60,1,wall,,,3,5831,,,
episode,5839,246,8,0,wall,,,3,5839,,,
episode,5891,247,52,0,wall,,,3,5891,,,
episode,5955,248,64,2,self,,,3,5955,,,
episode,5972,249,17,0,wall,,,3,5972,,,
train,6000,249,,,,0.33,0.5774907252192497,3,6000,,,
episode,6002,250,30,0,wall,,,3,6002,,,
episode,6010,251,8,0,wall,,,3,6010,,,
episode,6310,252,300,0,timeout,,,3,6310,,,
episode,6319,253,9,0,wall,,,3,6319,,,
episode,6336,254,17,0,wall,,,3,6336,,,
episode,6351,255,15,0,wall,,,3,6351,,,
episode,6368,256,17,0,wall,,,3,6368,,,
episode,6540,257,172,0,wall,,,3,6540,,,
episode,6582,258,42,0,wall,,,3,6582,,,
episode,6622,259,40,0,wall,,,3,6622,,,
episode,6631,260,9,0,wall,,,3,6631,,,
episode,6753,261,122,2,self,,,3,6753,,,
episode,6818,262,65,0,wall,,,3,6818,,,
episode,6837,263,19,0,wall,,,3,6837,,,
episode,6846,264,9,1,wall,,,3,6846,,,
episode,6871,265,25,0,wall,,,3,6871,,,
episode,6886,266,15,1,wall,,,3,6886,,,
episode,7026,267,140,1,wall,,,3,7026,,,
episode,7217,268,191,1,wall,,,3,7217,,,
episode,7434,269,217,2,self,,,3,7434,,,
episode,7593,270,159,0,wall,,,3,7593,,,
episode,7635,271,42,0,wall,,,3,7635,,,
episode,7915,272,280,2,self,,,3,7915,,,
train,8000,272,,,,0.38,0.2435801074281335,3,8000,,,
episode,8148,273,233,1,wall,,,3,8148,,,
episode,8448,274,300,0,timeout,,,3,8448,,,
episode,8667,275,219,2,self,,,3,8667,,,
episode,8967,276,300,0,timeout,,,3,8967,,,
episode,9386,277,419,1,timeout,,,3,9386,,,
episode,9808,278,422,1,timeout,,,3,9808,,,
train,10000,278,,,,0.4,0.1519432646781206,3,10000,,,
eval,10000,278,,,,,,3,,0.2,-2.2064999999999406,0.2
episode,10108,279,300,0,timeout,,,3,10108,,,
episode,10555,280,447,1,wall,,,3,10555,,,
episode,10651,281,96,3,self,,,3,10651,,,
episode,10909,282,258,2,self,,,3,10909,,,
episode,11209,283,300,0,timeout,,,3,11209,,,
episode,11407,284,198,0,wall,,,3,11407,,,
episode,11707,285,300,0,timeout,,,3,11707,,,
train,12000,285,,,,0.44,0.08861038068309426,3,12000,,,
episode,12007,286,300,0,timeout,,,3,12007,,,
episode,12495,287,488,1,timeout,,,3,12495,,,
episode,12795,288,300,0,timeout,,,3,12795,,,
episode,13222,289,427,1,timeout,,,3,13222,,,
episode,13522,290,300,0,timeout,,,3,13522,,,
episode,13980,291,458,1,timeout,,,3,13980,,,
train,14000,291,,,,0.43,0.05002035304903984,3,14000,,,
episode,14141,292,161,2,self,,,3,14141,,,
episode,14257,293,116,2,self,,,3,14257,,,
episode,14557,294,300,0,timeout,,,3,14557,,,
episode,14630,295,73,2,self,,,3,14630,,,
episode,14930,296,300,0,timeout,,,3,14930,,,
episode,15212,297,282,1,wall,,,3,15212,,,
episode,15585,298,373,2,self,,,3,15585,,,
train,16000,298,,,,0.51,0.04992469124495983,3,16000,,,
episode,16004,299,419,1,timeout,,,3,16004,,,
episode,16092,300,88,2,self,,,3,16092,,,
episode,16108,301,16,2,self,,,3,16108,,,
episode,16208,302,100,1,wall,,,3,16208,,,
episode,16508,303,300,0,timeout,,,3,16508,,,
episode,16716,304,208,2,self,,,3,16716,,,
episode,17258,305,542,1,timeout,,,3,17258,,,
episode,17643,306,385,2,self,,,3,17643,,,
episode,17888,307,245,2,self,,,3,17888,,,
train,18000,307,,,,0.61,0.05527626993134618,3,18000,,,
episode,18188,308,300,0,timeout,,,3,18188,,,
episode,18515,309,327,3,self,,,3,18515,,,
episode,18815,310,300,0,timeout,,,3,18815,,,
episode,19115,311,300,0,timeout,,,3,19115,,,
episode,19614,312,499,1,timeout,,,3,19614,,,
episode,19914,313,300,0,timeout,,,3,19914,,,
episode,19927,314,13,2,self,,,3,19927,,,
train,20000,314,,,,0.66,0.05473354569636285,3,20000,,,
eval,20000,314,,,,,,3,,0.8,3.103999999999709,0.8
episode,20263,315,336,3,self,,,3,20263,,,
episode,20670,316,407,1,timeout,,,3,20670,,,
episode,20970,317,300,0,timeout,,,3,20970,,,
episode,21270,318,300,2,self,,,3,21270,,,
episode,21301,319,31,2,self,,,3,21301,,,
episode,21601,320,300,0,timeout,,,3,21601,,,
episode,21901,321,300,0,timeout,,,3,21901,,,
train,22000,321,,,,0.74,0.050149749759584666,3,22000,,,
episode,22217,322,316,2,self,,,3,22217,,,
episode,22241,323,24,2,self,,,3,22241,,,
episode,22541,324,300,0,timeout,,,3,22541,,,
episode,22911,325,370,2,self,,,3,22911,,,
episode,23211,326,300,0,timeout,,,3,23211,,,
episode,23719,327,508,1,timeout,,,3,23719,,,
episode,23808,328,89,3,self,,,3,23808,,,
episode,23954,329,146,3,self,,,3,23954,,,
train,24000,329,,,,0.85,0.06657953487709165,3,24000,,,
episode,24256,330,302,2,self,,,3,24256,,,
episode,24337,331,81,2,self,,,3,24337,,,
episode,24502,332,165,2,self,,,3,24502,,,
episode,24573,333,71,2,self,,,3,24573,,,
episode,24793,334,220,2,self,,,3,24793,,,
episode,24922,335,129,1,wall,,,3,24922,,,
episode,25330,336,408,1,timeout,,,3,25330,,,
episode,25348,337,18,2,self,,,3,25348,,,
episode,25370,338,22,2,self,,,3,25370,,,
episode,25477,339,107,2,self,,,3,25477,,,
episode,25650,340,173,2,self,,,3,25650,,,
episode,25752,341,102,2,self,,,3,25752,,,
episode,25976,342,224,2,self,,,3,25976,,,
train,26000,342,,,,1.02,0.07047967111691833,3,26000,,,
episode,26205,343,229,2,self,,,3,26205,,,
episode,26239,344,34,2,self,,,3,26239,,,
episode,26296,345,57,3,self,,,3,26296,,,
episode,26547,346,251,3,self,,,3,26547,,,
episode,26953,347,406,1,timeout,,,3,26953,,,
episode,26998,348,45,2,self,,,3,26998,,,
episode,27298,349,300,0,timeout,,,3,27298,,,
episode,27401,350,103,2,self,,,3,27401,,,
episode,27485,351,84,3,self,,,3,27485,,,
episode,27785,352,300,0,timeout,,,3,27785,,,
episode,27804,353,19,1,wall,,,3,27804,,,
episode,27871,354,67,2,self,,,3,27871,,,
train,28000,354,,,,1.18,0.07591449534520507,3,28000,,,
